"MGRS_10km","n.taxa","n.neigh","ratio","diff"
"29SPD11",97,488,4.03092783505155,391
"29SPD10",347,534,0.538904899135447,187
"29SPD13",88,386,3.38636363636364,298
"29SPD12",74,411,4.55405405405405,337
"29SPD15",144,393,1.72916666666667,249
"29SPD14",124,437,2.5241935483871,313
"29SPD17",185,608,2.28648648648649,423
"29SPD16",173,483,1.79190751445087,310
"29SPD08",218,669,2.06880733944954,451
"29SPD07",199,635,2.19095477386935,436
"29SPD09",268,615,1.29477611940298,347
"29SPD00",19,515,26.1052631578947,496
"29SPD02",50,368,6.36,318
"29SPD01",97,529,4.45360824742268,432
"29SPD04",90,389,3.32222222222222,299
"29SPD03",70,369,4.27142857142857,299
"29SPD06",55,540,8.81818181818182,485
"29SPD05",22,429,18.5,407
"29SPD33",34,477,13.0294117647059,443
"29SPD32",64,373,4.828125,309
"29SPD35",451,838,0.858093126385809,387
"29SPD34",211,745,2.53080568720379,534
"29SPD37",175,740,3.22857142857143,565
"29SPD36",537,836,0.556797020484171,299
"29SPD39",123,598,3.86178861788618,475
"29SPD38",69,519,6.52173913043478,450
"29SPD31",44,332,6.54545454545455,288
"29SPD30",33,478,13.4848484848485,445
"29SPD29",265,665,1.50943396226415,400
"29SPD22",22,386,16.5454545454545,364
"29SPD21",81,475,4.8641975308642,394
"29SPD24",6,634,104.666666666667,628
"29SPD23",205,440,1.14634146341463,235
"29SPD26",102,759,6.44117647058824,657
"29SPD25",96,740,6.70833333333333,644
"29SPD28",137,649,3.73722627737226,512
"29SPD27",151,767,4.0794701986755,616
"29SPD20",117,575,3.91452991452991,458
"29SPD19",292,663,1.27054794520548,371
"29SPD18",341,676,0.982404692082111,335
"29SMC86",549,1111,1.02367941712204,562
"29SMC85",604,976,0.615894039735099,372
"29SMC88",609,1083,0.778325123152709,474
"29SMC87",571,1104,0.933450087565674,533
"29SMC89",476,1015,1.13235294117647,539
"29SMC77",237,1080,3.55696202531646,843
"29SMC79",489,1138,1.32719836400818,649
"29SMC78",540,1157,1.14259259259259,617
"29SPE70",236,557,1.36016949152542,321
"29SPE72",162,477,1.94444444444444,315
"29SPE71",273,473,0.732600732600733,200
"29SPE61",93,542,4.82795698924731,449
"29SPE60",196,557,1.84183673469388,361
"29SPE62",61,540,7.85245901639344,479
"29SMC97",530,1159,1.18679245283019,629
"29SMC96",505,1172,1.32079207920792,667
"29SMC99",173,929,4.36994219653179,756
"29SMC98",45,1012,21.4888888888889,967
"29SPE90",24,338,13.0833333333333,314
"29SPE92",29,275,8.48275862068965,246
"29SPE91",48,220,3.58333333333333,172
"29SMC95",657,1085,0.65144596651446,428
"29SPE81",44,442,9.04545454545454,398
"29SPE80",17,501,28.4705882352941,484
"29SPE82",100,444,3.44,344
"29SMC68",521,1028,0.973128598848369,507
"29SMC69",641,1068,0.666146645865835,427
"29SMC59",368,920,1.5,552
"29SMC58",274,889,2.24452554744526,615
"29SPE32",114,564,3.94736842105263,450
"29SPE31",190,617,2.24736842105263,427
"29SPE30",323,636,0.969040247678019,313
"29SPE21",245,572,1.33469387755102,327
"29SPE20",201,612,2.04477611940298,411
"29SPE22",194,533,1.74742268041237,339
"29SPE50",212,581,1.74056603773585,369
"29SPE52",261,553,1.11877394636015,292
"29SPE51",214,553,1.58411214953271,339
"29SPE42",189,560,1.96296296296296,371
"29SPE41",294,621,1.11224489795918,327
"29SPE40",167,613,2.67065868263473,446
"29SPE10",43,598,12.906976744186,555
